time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-15 00:00:00+00:00,8,6,53,20
2023-09-16 00:00:00+00:00,6,4,27,5
2023-09-17 00:00:00+00:00,3,3,7,2
2023-09-18 00:00:00+00:00,13,10,49,12
2023-09-19 00:00:00+00:00,13,9,53,17
2023-09-20 00:00:00+00:00,4,3,65,18
2023-09-21 00:00:00+00:00,26,19,124,28
2023-09-22 00:00:00+00:00,20,7,107,28
2023-09-23 00:00:00+00:00,3,2,25,7
2023-09-24 00:00:00+00:00,3,3,22,5
2023-09-25 00:00:00+00:00,3,3,26,15
2023-09-26 00:00:00+00:00,12,9,59,12
2023-09-27 00:00:00+00:00,13,6,48,9
2023-09-28 00:00:00+00:00,9,8,73,15
2023-09-29 00:00:00+00:00,17,12,75,17
2023-09-30 00:00:00+00:00,1,1,16,6
2023-10-01 00:00:00+00:00,7,5,6,4
2023-10-02 00:00:00+00:00,8,8,36,10
2023-10-03 00:00:00+00:00,6,5,32,9
2023-10-04 00:00:00+00:00,9,7,40,8
2023-10-05 00:00:00+00:00,7,5,43,15
2023-10-06 00:00:00+00:00,1,1,24,7
2023-10-07 00:00:00+00:00,1,1,11,4
2023-10-08 00:00:00+00:00,1,1,7,6
2023-10-09 00:00:00+00:00,34,15,90,21
2023-10-10 00:00:00+00:00,24,12,146,27
2023-10-11 00:00:00+00:00,12,6,64,13
2023-10-12 00:00:00+00:00,21,13,74,18
2023-10-13 00:00:00+00:00,23,6,64,11
2023-10-14 00:00:00+00:00,21,6,23,9
2023-10-15 00:00:00+00:00,2,2,10,6
2023-10-16 00:00:00+00:00,10,8,60,22
2023-10-17 00:00:00+00:00,5,4,84,21
2023-10-18 00:00:00+00:00,28,9,119,26
2023-10-19 00:00:00+00:00,36,17,155,16
2023-10-20 00:00:00+00:00,3,3,19,10
2023-10-21 00:00:00+00:00,4,4,27,4
2023-10-22 00:00:00+00:00,2,2,7,2
2023-10-23 00:00:00+00:00,5,5,36,16
2023-10-24 00:00:00+00:00,5,4,37,11
2023-10-25 00:00:00+00:00,42,10,121,31
2023-10-26 00:00:00+00:00,7,5,69,13
2023-10-27 00:00:00+00:00,4,4,53,17
2023-10-28 00:00:00+00:00,5,5,34,6
2023-10-29 00:00:00+00:00,2,2,26,7
2023-10-30 00:00:00+00:00,8,6,44,13
2023-10-31 00:00:00+00:00,7,6,63,19
2023-11-01 00:00:00+00:00,4,4,36,13
2023-11-02 00:00:00+00:00,10,7,35,16
2023-11-03 00:00:00+00:00,8,3,28,10
2023-11-04 00:00:00+00:00,3,3,14,5
2023-11-05 00:00:00+00:00,11,6,50,5
2023-11-06 00:00:00+00:00,13,7,27,12
2023-11-07 00:00:00+00:00,6,5,57,16
2023-11-08 00:00:00+00:00,12,6,60,17
2023-11-09 00:00:00+00:00,8,6,59,12
2023-11-10 00:00:00+00:00,41,16,283,19
2023-11-11 00:00:00+00:00,4,4,25,4
2023-11-12 00:00:00+00:00,2,2,44,5
2023-11-13 00:00:00+00:00,5,5,48,14
2023-11-14 00:00:00+00:00,20,10,115,19
2023-11-15 00:00:00+00:00,12,6,66,16
2023-11-16 00:00:00+00:00,12,9,51,17
2023-11-17 00:00:00+00:00,6,3,28,10
2023-11-18 00:00:00+00:00,4,4,20,5
2023-11-19 00:00:00+00:00,6,3,13,5
2023-11-20 00:00:00+00:00,24,9,124,23
2023-11-21 00:00:00+00:00,17,10,120,20
2023-11-22 00:00:00+00:00,12,8,85,15
2023-11-23 00:00:00+00:00,12,7,46,10
2023-11-24 00:00:00+00:00,25,12,89,8
2023-11-25 00:00:00+00:00,18,15,16,7
2023-11-26 00:00:00+00:00,1,1,3,3
2023-11-27 00:00:00+00:00,27,15,68,14
2023-11-28 00:00:00+00:00,10,7,111,11
2023-11-29 00:00:00+00:00,6,5,40,12
2023-11-30 00:00:00+00:00,4,4,32,13
2023-12-01 00:00:00+00:00,10,9,73,14
2023-12-02 00:00:00+00:00,5,5,10,7
